tag 1,tag 2,destek,guven,lift
"frozenset({'javascript', '3d'})",0.010638297872340425,0.010638297872340425,0.5,3.481481481481481
"frozenset({'algorithms', 'c'})",0.010638297872340425,0.010638297872340425,0.5,13.428571428571429
"frozenset({'algorithms', 'cpp'})",0.010638297872340425,0.010638297872340425,0.5,15.666666666666668
"frozenset({'algorithms', 'java'})",0.010638297872340425,0.010638297872340425,0.5,8.545454545454545
"frozenset({'javascript', 'algorithms'})",0.010638297872340425,0.010638297872340425,0.5,3.481481481481481
"frozenset({'python', 'algorithms'})",0.010638297872340425,0.010638297872340425,0.5,3.916666666666667
"frozenset({'kotlin', 'android'})",0.026595744680851064,0.026595744680851064,0.4166666666666667,8.703703703703704
"frozenset({'attention-mechanism', 'artificial-intelligence'})",0.026595744680851064,0.026595744680851064,0.5555555555555556,17.40740740740741
"frozenset({'deep-learning', 'artificial-intelligence'})",0.031914893617021274,0.031914893617021274,0.6666666666666666,6.5964912280701755
"frozenset({'artificial-intelligence', 'transformers'})",0.026595744680851064,0.026595744680851064,0.5555555555555556,14.920634920634923
"frozenset({'deep-learning', 'attention-mechanism'})",0.02127659574468085,0.02127659574468085,0.6666666666666667,6.596491228070176
"frozenset({'attention-mechanism', 'transformers'})",0.02127659574468085,0.02127659574468085,0.6666666666666667,17.90476190476191
"frozenset({'awesome', 'awesome-list'})",0.02127659574468085,0.02127659574468085,0.5,18.8
"frozenset({'c', 'java'})",0.02127659574468085,0.02127659574468085,0.5714285714285714,9.766233766233766
"frozenset({'python', 'c'})",0.015957446808510637,0.015957446808510637,0.42857142857142855,3.357142857142857
"frozenset({'cargo', 'rust'})",0.026595744680851064,0.026595744680851064,1.0,12.533333333333333
"frozenset({'cli', 'terminal'})",0.015957446808510637,0.015957446808510637,0.5,15.666666666666668
"frozenset({'deep-learning', 'computer-vision'})",0.031914893617021274,0.031914893617021274,0.5454545454545454,5.3971291866028706
"frozenset({'tensorflow', 'computer-vision'})",0.026595744680851064,0.026595744680851064,0.45454545454545453,10.681818181818182
"frozenset({'cpp', 'java'})",0.015957446808510637,0.015957446808510637,0.5,8.545454545454545
"frozenset({'javascript', 'cpp'})",0.015957446808510637,0.015957446808510637,0.5,3.481481481481481
"frozenset({'cpp', 'kotlin'})",0.015957446808510637,0.015957446808510637,0.5,10.444444444444445
"frozenset({'python', 'cpp'})",0.02127659574468085,0.02127659574468085,0.6666666666666667,5.222222222222223
"frozenset({'deep-learning', 'machine-learning'})",0.03723404255319149,0.03723404255319149,0.7,6.926315789473684
"frozenset({'deep-learning', 'pytorch'})",0.047872340425531915,0.047872340425531915,0.4736842105263158,8.905263157894737
"frozenset({'deep-learning', 'tensorflow'})",0.026595744680851064,0.026595744680851064,0.625,6.18421052631579
"frozenset({'deep-learning', 'transformers'})",0.026595744680851064,0.026595744680851064,0.7142857142857143,7.067669172932331
"frozenset({'docker', 'github-actions'})",0.010638297872340425,0.010638297872340425,0.5,11.75
"frozenset({'electron', 'neovim'})",0.005319148936170213,0.005319148936170213,1.0,47.0
"frozenset({'typescript', 'electron'})",0.015957446808510637,0.015957446808510637,0.75,7.833333333333333
"frozenset({'golang', 'github-actions'})",0.010638297872340425,0.010638297872340425,0.5,5.529411764705882
"frozenset({'python', 'github-actions'})",0.010638297872340425,0.010638297872340425,0.5,3.916666666666667
"frozenset({'go', 'golang'})",0.05851063829787234,0.05851063829787234,0.8461538461538461,9.357466063348415
"frozenset({'hacktoberfest2020', 'hacktoberfest'})",0.10638297872340426,0.10638297872340426,0.625,5.875
"frozenset({'laravel', 'hacktoberfest'})",0.015957446808510637,0.015957446808510637,0.75,4.40625
"frozenset({'html', 'html5'})",0.010638297872340425,0.010638297872340425,0.5,18.8
"frozenset({'javascript', 'html'})",0.015957446808510637,0.015957446808510637,0.75,5.222222222222221
"frozenset({'javascript', 'html5'})",0.02127659574468085,0.02127659574468085,0.7999999999999999,5.5703703703703695
"frozenset({'ios14', 'ios'})",0.015957446808510637,0.015957446808510637,0.42857142857142855,5.755102040816326
"frozenset({'macos', 'ios'})",0.015957446808510637,0.015957446808510637,0.5,6.714285714285714
"frozenset({'scriptable', 'ios'})",0.015957446808510637,0.015957446808510637,0.6,8.057142857142857
"frozenset({'swift', 'ios'})",0.02127659574468085,0.02127659574468085,0.4444444444444444,5.968253968253968
"frozenset({'widget', 'ios'})",0.02127659574468085,0.02127659574468085,0.5714285714285714,7.673469387755102
"frozenset({'ios14', 'scriptable'})",0.015957446808510637,0.015957446808510637,0.42857142857142855,16.114285714285714
"frozenset({'ios14', 'swift'})",0.015957446808510637,0.015957446808510637,0.42857142857142855,8.952380952380953
"frozenset({'ios14', 'widget'})",0.02127659574468085,0.02127659574468085,0.5714285714285714,15.346938775510203
"frozenset({'javascript', 'java'})",0.026595744680851064,0.026595744680851064,0.45454545454545453,3.164983164983165
"frozenset({'python', 'java'})",0.031914893617021274,0.031914893617021274,0.5454545454545454,4.2727272727272725
"frozenset({'javascript', 'js'})",0.02127659574468085,0.02127659574468085,1.0,6.962962962962962
"frozenset({'javascript', 'nodejs'})",0.02127659574468085,0.02127659574468085,0.7999999999999999,5.5703703703703695
"frozenset({'javascript', 'vue'})",0.026595744680851064,0.026595744680851064,0.5,3.481481481481481
"frozenset({'typescript', 'js'})",0.010638297872340425,0.010638297872340425,0.5,5.222222222222222
"frozenset({'python', 'kotlin'})",0.02127659574468085,0.02127659574468085,0.4444444444444444,3.4814814814814814
"frozenset({'monitoring', 'kubernetes'})",0.015957446808510637,0.015957446808510637,0.6,12.533333333333333
"frozenset({'laravel', 'php'})",0.010638297872340425,0.010638297872340425,0.5,13.428571428571429
"frozenset({'macos', 'linux'})",0.015957446808510637,0.015957446808510637,0.5,7.230769230769231
"frozenset({'windows', 'linux'})",0.015957446808510637,0.015957446808510637,1.0,14.461538461538462
"frozenset({'python', 'machine-learning'})",0.026595744680851064,0.026595744680851064,0.5,3.916666666666667
"frozenset({'pytorch', 'machine-learning'})",0.026595744680851064,0.026595744680851064,0.5,9.4
"frozenset({'typescript', 'neovim'})",0.005319148936170213,0.005319148936170213,1.0,10.444444444444445
"frozenset({'react', 'nextjs'})",0.031914893617021274,0.031914893617021274,1.0,7.833333333333334
"frozenset({'python', 'tensorflow'})",0.02127659574468085,0.02127659574468085,0.5,3.916666666666667
"frozenset({'python', 'transformers'})",0.015957446808510637,0.015957446808510637,0.42857142857142855,3.357142857142857
"frozenset({'pytorch', 'tensorflow'})",0.02127659574468085,0.02127659574468085,0.5,9.4
"frozenset({'pytorch', 'transformers'})",0.015957446808510637,0.015957446808510637,0.42857142857142855,8.057142857142857
"frozenset({'react', 'reactjs'})",0.026595744680851064,0.026595744680851064,1.0,7.833333333333334
"frozenset({'react', 'tailwindcss'})",0.02127659574468085,0.02127659574468085,0.7999999999999999,6.266666666666667
"frozenset({'typescript', 'react'})",0.0425531914893617,0.0425531914893617,0.4444444444444444,3.4814814814814814
"frozenset({'rust', 'webassembly'})",0.010638297872340425,0.010638297872340425,0.6666666666666667,8.355555555555556
"frozenset({'widget', 'scriptable'})",0.02127659574468085,0.02127659574468085,0.7999999999999999,21.485714285714284
"frozenset({'vue3', 'vue'})",0.010638297872340425,0.010638297872340425,0.6666666666666667,12.533333333333335
