taglar,destek,guven,lift
"frozenset({'ai', 'deep-learning'})",0.006750241080038573,0.7,10.674999999999999
"frozenset({'ai', 'machine-learning'})",0.008678881388621022,0.8999999999999999,20.74
"frozenset({'android', 'kotlin'})",0.011571841851494697,0.30000000000000004,15.555000000000001
"frozenset({'react', 'angular'})",0.0057859209257473485,0.6666666666666667,8.978354978354979
"frozenset({'angular', 'vue'})",0.0048216007714561235,0.5555555555555556,17.457912457912457
"frozenset({'ios', 'apple'})",0.0048216007714561235,0.5555555555555556,17.457912457912457
"frozenset({'attention-mechanism', 'artificial-intelligence'})",0.007714561234329798,0.36363636363636365,31.424242424242422
"frozenset({'deep-learning', 'artificial-intelligence'})",0.01639344262295082,0.7727272727272727,11.784090909090908
"frozenset({'machine-learning', 'artificial-intelligence'})",0.007714561234329798,0.36363636363636365,8.37979797979798
"frozenset({'transformers', 'artificial-intelligence'})",0.0048216007714561235,0.41666666666666663,19.640151515151512
"frozenset({'attention-mechanism', 'attention'})",0.0048216007714561235,0.625,54.010416666666664
"frozenset({'deep-learning', 'attention'})",0.0057859209257473485,0.75,11.4375
"frozenset({'deep-learning', 'attention-mechanism'})",0.008678881388621022,0.7499999999999999,11.437499999999998
"frozenset({'awesome-list', 'awesome'})",0.008678881388621022,0.5294117647058824,34.3125
"frozenset({'cargo', 'rust'})",0.0048216007714561235,1.0,31.424242424242422
"frozenset({'command-line', 'cli'})",0.0048216007714561235,1.0,54.57894736842105
"frozenset({'command-line-tool', 'cli'})",0.0048216007714561235,0.7142857142857143,38.984962406015036
"frozenset({'cli', 'golang'})",0.0057859209257473485,0.3157894736842105,6.178748758689175
"frozenset({'deep-learning', 'computer-vision'})",0.010607521697203472,0.5238095238095238,7.988095238095238
"frozenset({'tensorflow', 'computer-vision'})",0.006750241080038573,0.33333333333333337,17.283333333333335
"frozenset({'dotnet', 'csharp'})",0.0048216007714561235,0.5,64.8125
"frozenset({'javascript', 'css'})",0.006750241080038573,0.4375,6.48125
"frozenset({'html5', 'css3'})",0.0048216007714561235,0.7142857142857143,67.33766233766234
"frozenset({'ctf-tools', 'ctf'})",0.0048216007714561235,0.8333333333333333,172.83333333333331
"frozenset({'flutter', 'dart'})",0.010607521697203472,0.7333333333333334,40.02456140350877
"frozenset({'machine-learning', 'data-science'})",0.010607521697203472,0.6875,15.843055555555555
"frozenset({'data-science', 'python'})",0.007714561234329798,0.5,6.822368421052631
"frozenset({'deep-learning', 'deep-neural-networks'})",0.008678881388621022,0.8181818181818181,12.477272727272725
"frozenset({'deep-learning', 'machine-learning'})",0.022179363548698167,0.338235294117647,7.794444444444443
"frozenset({'deep-learning', 'neural-network'})",0.007714561234329798,0.888888888888889,13.555555555555555
"frozenset({'deep-learning', 'nlp'})",0.0057859209257473485,0.375,5.71875
"frozenset({'deep-learning', 'object-detection'})",0.0048216007714561235,0.7142857142857143,10.892857142857142
"frozenset({'deep-learning', 'pytorch'})",0.024108003857280617,0.3676470588235294,8.111702127659575
"frozenset({'deep-learning', 'tensorflow'})",0.01253616200578592,0.6499999999999999,9.912499999999998
"frozenset({'deep-learning', 'transformer'})",0.0048216007714561235,0.5,7.625
"frozenset({'deep-learning', 'transformers'})",0.0057859209257473485,0.5,7.625
"frozenset({'flutter', 'flutter-package'})",0.0048216007714561235,1.0,54.57894736842105
"frozenset({'game-engine', 'game-development'})",0.0048216007714561235,0.8333333333333333,144.02777777777774
"frozenset({'gamedev', 'game-development'})",0.0048216007714561235,0.8333333333333333,123.45238095238095
"frozenset({'react', 'gatsby'})",0.0057859209257473485,1.0,13.467532467532466
"frozenset({'go', 'golang'})",0.027965284474445518,0.763157894736842,14.931976166832172
"frozenset({'hacktoberfest2020', 'hacktoberfest'})",0.017357762777242044,0.4736842105263157,27.289473684210524
"frozenset({'helm', 'kubernetes'})",0.0048216007714561235,1.0,37.035714285714285
"frozenset({'javascript', 'html'})",0.010607521697203472,0.7857142857142858,11.639795918367348
"frozenset({'html5', 'javascript'})",0.006750241080038573,0.6363636363636364,9.427272727272728
"frozenset({'ios', 'ios14'})",0.0048216007714561235,0.5555555555555556,17.457912457912457
"frozenset({'ios', 'macos'})",0.010607521697203472,0.3333333333333333,15.712121212121211
